State/ territory,SA3,SA3 Name,Sex,5 year period,Deaths,SA3 ASR,State ASR,Australia ASR 
Western Australia,51101,Esperance,Persons,2014until2018,12,0,15.1,12.6
Western Australia,51102,Gascoyne,Persons,2014until2018,11,0,15.1,12.6
Western Australia,51103,Goldfields,Persons,2014until2018,46,22.6,15.1,12.6
Western Australia,51104,Mid West,Persons,2014until2018,70,25.3,15.1,12.6
Tasmania,60101,Brighton,Persons,2014until2018,9,0,15.3,12.6
Tasmania,60102,Hobart until North East,Persons,2014until2018,35,12.8,15.3,12.6
Tasmania,60103,Hobart until North West,Persons,2014until2018,49,17.2,15.3,12.6
Tasmania,60104,Hobart until South and West,Persons,2014until2018,18,0,15.3,12.6
Tasmania,60105,Hobart Inner,Persons,2014until2018,33,12.1,15.3,12.6
Tasmania,60106,Sorell until Dodges Ferry,Persons,2014until2018,12,0,15.3,12.6
Tasmania,60201,Launceston,Persons,2014until2018,62,14.9,15.3,12.6
Tasmania,60202,Meander Valley until West Tamar,Persons,2014until2018,27,25.5,15.3,12.6
Tasmania,60203,North East,Persons,2014until2018,41,21.6,15.3,12.6
Tasmania,60301,Central Highlands (Tas.),Persons,2014until2018,14,0,15.3,12.6
Tasmania,60302,Huon until Bruny Island,Persons,2014until2018,15,0,15.3,12.6
Tasmania,60303,South East Coast,Persons,2014until2018,7,0,15.3,12.6
Tasmania,60401,Burnie until Ulverstone,Persons,2014until2018,36,14.5,15.3,12.6
Tasmania,60402,Devonport,Persons,2014until2018,25,11.6,15.3,12.6
Tasmania,60403,West Coast,Persons,2014until2018,18,0,15.3,12.6
Northern Territory,70101,Darwin City,Persons,2014until2018,24,17.2,20.3,12.6
Northern Territory,70102,Darwin Suburbs,Persons,2014until2018,45,16,20.3,12.6
Northern Territory,70103,Litchfield,Persons,2014until2018,33,26.3,20.3,12.6
Northern Territory,70104,Palmerston,Persons,2014until2018,24,15.2,20.3,12.6
Northern Territory,70201,Alice Springs,Persons,2014until2018,45,22.2,20.3,12.6
Northern Territory,70202,Barkly,Persons,2014until2018,8,0,20.3,12.6
Northern Territory,70203,Daly until Tiwi until West Arnhem,Persons,2014until2018,19,0,20.3,12.6
Northern Territory,70204,East Arnhem,Persons,2014until2018,19,0,20.3,12.6
Northern Territory,70205,Katherine,Persons,2014until2018,23,20.8,20.3,12.6
Australian Capital Territory,80101,Belconnen,Persons,2014until2018,54,11,10.8,12.6
Australian Capital Territory,80103,Canberra East,Persons,2014until2018,3,0,10.8,12.6
Australian Capital Territory,80104,Gungahlin,Persons,2014until2018,17,0,10.8,12.6
Australian Capital Territory,80105,North Canberra,Persons,2014until2018,35,12,10.8,12.6
Australian Capital Territory,80106,South Canberra,Persons,2014until2018,21,13.7,10.8,12.6
Australian Capital Territory,80107,Tuggeranong,Persons,2014until2018,58,14.1,10.8,12.6
Australian Capital Territory,80108,Weston Creek,Persons,2014until2018,10,0,10.8,12.6
Australian Capital Territory,80109,Woden Valley,Persons,2014until2018,21,11.2,10.8,12.6
New South Wales,10102,Queanbeyan,Persons,2015until2019,45,14.7,11.2,12.7
New South Wales,10103,Snowy Mountains,Persons,2015until2019,16,0,11.2,12.7
New South Wales,10104,South Coast,Persons,2015until2019,69,21.6,11.2,12.7
